Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Brasil,-0.023893250400588636,-0.02614781957954413,-0.022790224965275222,-0.029312400081042696,-0.03379268000664154,-0.041998325484441434,-0.033674185694241514,-0.03806350167540075,2023-09-15,0.0053475040890054
Brasil/Servicios Financieros y Bancarios/itub,-0.02922277333463552,-0.03011013456304463,-0.027982779281487718,-0.03596109116470791,-0.041330325997823505,-0.04854233251469556,-0.041296398967462095,-0.046665242544916455,2023-09-15,0.037812251861967
Brasil/Energía y Petróleo/pbr,-0.03193583797334298,-0.037294368366249574,-0.02905933779951575,-0.037778362263266044,-0.04516746509091722,-0.053728838762952674,-0.043609004125197845,-0.04947629524881577,2023-09-15,0.0510948773000516
Brasil/ Minería y Recursos Naturales/vale,-0.029139007262917904,-0.03129156279656652,-0.029138345966875652,-0.03709378829429625,-0.0412118540440496,-0.05651211257627631,-0.04241380262127648,-0.04776725659381553,2023-09-15,0.0311040289728379
Brasil,-0.023885810523768383,-0.026182616859453473,-0.022775015942578667,-0.02929507650456908,-0.03378215764687632,-0.04205221008858522,-0.03365546613488016,-0.03804338609719663,2023-09-16,-0.0017729632200406
Brasil/Servicios Financieros y Bancarios/itub,-0.02922361751943698,-0.03011013456304463,-0.02799916582855992,-0.035977708188523576,-0.041331519944498143,-0.04854233251469556,-0.04131317011716124,-0.046682168789277494,2023-09-16,-0.0110605125282836
Brasil/Energía y Petróleo/pbr,-0.031791482131311465,-0.037294368366249574,-0.02884223240158277,-0.037521845276408776,-0.044963299868727935,-0.053728838762952674,-0.04332613156826705,-0.04916690146043018,2023-09-16,-0.0055555504045364
Brasil/ Minería y Recursos Naturales/vale,-0.029141659407836234,-0.03129156279656652,-0.029175669748480352,-0.0371318361563664,-0.04121560502321961,-0.05651211257627631,-0.04245233469507132,-0.04780627592291117,2023-09-16,-0.006068378630444
Brasil,-0.023861955148363048,-0.026209808679042514,-0.022787681466167654,-0.029301337061545776,-0.03374841853419825,-0.04209324395195181,-0.03365741994010403,-0.03804099472731936,2023-09-17,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.029222364582377508,-0.03011013456304463,-0.02798978162513694,-0.035967981912070214,-0.041329747891704606,-0.04854233251469556,-0.04130321508744094,-0.04667198356843166,2023-09-17,0.0
Brasil/Energía y Petróleo/pbr,-0.03161613495941613,-0.037294368366249574,-0.028810620021647793,-0.037442360149790875,-0.044715303017291486,-0.053728838762952674,-0.04321463267198769,-0.04902318756775487,2023-09-17,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.02914116722351266,-0.03129156279656652,-0.02917980408002608,-0.03713583611325875,-0.041214908917538214,-0.05651211257627631,-0.04245624479208516,-0.04781009559522047,2023-09-17,0.0
Brasil,-0.023854348571131404,-0.026248526204117693,-0.022762713863259395,-0.029274308000881138,-0.03373766040685997,-0.042154329176173615,-0.033629009150054276,-0.03801119194831831,2023-09-18,0.0
Brasil/Servicios Financieros y Bancarios/itub,-0.029068184674683473,-0.03011013456304463,-0.027724149589063687,-0.03566025615081821,-0.041111688305971984,-0.04854233251469556,-0.040967340140787255,-0.0463077825009914,2023-09-18,0.0
Brasil/Energía y Petróleo/pbr,-0.03160690183457271,-0.037294368366249574,-0.028841943386764615,-0.0374711627155019,-0.04470224443262578,-0.053728838762952674,-0.04324174951258095,-0.04904860808738476,2023-09-18,0.0
Brasil/ Minería y Recursos Naturales/vale,-0.029139037825731996,-0.03129156279656652,-0.029189244558069104,-0.0371446952296554,-0.041211897269620816,-0.05651211257627631,-0.04246471513659954,-0.04781817472417609,2023-09-18,0.0
Brasil,-0.023855227749913464,-0.02623229919600825,-0.02276808467575803,-0.02927982374297397,-0.03373890384618919,-0.042128485341686846,-0.03363464232723187,-0.03801695324901554,2023-09-19,-0.0017762832365759
Brasil/Servicios Financieros y Bancarios/itub,-0.029069344624935194,-0.03011013456304463,-0.02773268870757079,-0.03566911195538284,-0.04111332884574882,-0.04854233251469556,-0.04097640772167982,-0.046317063189359686,2023-09-19,0.0125000352922244
Brasil/Energía y Petróleo/pbr,-0.03162506785120167,-0.037294368366249574,-0.028807681194011888,-0.0374418601528528,-0.04472793697661397,-0.053728838762952674,-0.04321576358552819,-0.04902595964307497,2023-09-19,-0.0146648074456926
Brasil/ Minería y Recursos Naturales/vale,-0.02917717629518838,-0.03129156279656652,-0.029287762653893774,-0.03725362577335376,-0.04126583723478566,-0.05651211257627631,-0.04258060875910448,-0.04794107519282975,2023-09-19,-0.0013005482787145
Brasil,-0.023861072657204666,-0.026231328129475064,-0.022788016301737764,-0.029301378372998,-0.033747170410111986,-0.04212637063671227,-0.03365727631363611,-0.038040670503578025,2023-09-20,-0.0064677149260581
Brasil/Servicios Financieros y Bancarios/itub,-0.02907943118350224,-0.03011013456304463,-0.02776953266987222,-0.035708709718945866,-0.041127594458016295,-0.04854233251469556,-0.04101784702485339,-0.04636035560738178,2023-09-20,-0.0071475378750909
Brasil/Energía y Petróleo/pbr,-0.031639842496496956,-0.037294368366249574,-0.028851956874776243,-0.03749016956192827,-0.04474883303940594,-0.053728838762952674,-0.04326677045522536,-0.04907968092863522,2023-09-20,0.0007087334603232
Brasil/ Minería y Recursos Naturales/vale,-0.029177455989343952,-0.03129156279656652,-0.02928508398432415,-0.037251023465024034,-0.041266232811567403,-0.05651211257627631,-0.04257805751555199,-0.047938575335028835,2023-09-20,-0.0042591513824725
Brasil,-0.023874529037352148,-0.02627988547298918,-0.02277632208774357,-0.02929342213801789,-0.03376620202534841,-0.042200365391337216,-0.0336518060731882,-0.038037695200592185,2023-09-21,0.0162748051240764
Brasil/Servicios Financieros y Bancarios/itub,-0.029040012669963446,-0.03011013456304463,-0.027579045454013934,-0.035507460581507305,-0.04107184410207807,-0.04854233251469556,-0.040809401106313724,-0.04614466767143254,2023-09-21,0.0032722638487339
Brasil/Energía y Petróleo/pbr,-0.03155792327769547,-0.037294368366249574,-0.028856125217267374,-0.03747197257073449,-0.04463297312495561,-0.053728838762952674,-0.04323361717489836,-0.04903147734946437,2023-09-21,0.0056657170222693
Brasil/ Minería y Recursos Naturales/vale,-0.029184914112825394,-0.03129156279656652,-0.029271092399189083,-0.037239068073870875,-0.04127678097793376,-0.05651211257627631,-0.0425674637810749,-0.04792935181609887,2023-09-21,0.0083202193783763
Brasil,-0.024080294199467455,-0.02636344586163303,-0.023120643146312365,-0.029693835795799064,-0.034057219620832455,-0.04233799503300969,-0.034089747589196764,-0.03851340912593196,2023-09-22,-0.0320284398583606
Brasil/Servicios Financieros y Bancarios/itub,-0.029232242778929666,-0.03011013456304463,-0.027943945868038524,-0.03592484306987562,-0.041343718813598156,-0.04854233251469556,-0.04126187974344749,-0.0466324630587631,2023-09-22,-0.0228310752258056
Brasil/Energía y Petróleo/pbr,-0.03166785378276867,-0.037294368366249574,-0.029076859899067872,-0.037722720141623596,-0.04478844993613136,-0.053728838762952674,-0.04350443515713281,-0.049322491898238556,2023-09-22,-0.0387324083184849
Brasil/ Minería y Recursos Naturales/vale,-0.029367658816929914,-0.03129156279656652,-0.02970138520556712,-0.03771925327847056,-0.041535240300343924,-0.05651211257627631,-0.0430810133496436,-0.04847647546470817,2023-09-22,-0.0308853347228749
