Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Argentina/Energía y Petróleo/ypf,-0.045530526343932724,-0.06108072531585192,-0.04380226347166956,-0.05623286802857956,-0.06439469228667927,-0.08134012097691998,-0.06454554149336585,-0.07291046535396385,2023-09-13,0.0096942317485082
Argentina,-0.03332870237830383,-0.03932725883471128,-0.03172795609912731,-0.04082721416385969,-0.047137419799478913,-0.05251654076841937,-0.046912137356856495,-0.0530353125263584,2023-09-14,0.0050093280334442
Argentina/Servicios Financieros y Bancarios/ggal,-0.04905270808950209,-0.05469551044697383,-0.046511093120363944,-0.05990331292692006,-0.06937618114473465,-0.07173831219113005,-0.06885904389807869,-0.0778710672870748,2023-09-14,-0.001200775971917
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03630269668876188,-0.035135845234838224,-0.034310473977815496,-0.04422172480497795,-0.051343596706761724,-0.05011029740360612,-0.050849639913740356,-0.05751921564941253,2023-09-14,0.0313253292608504
Argentina/Energía y Petróleo/ypf,-0.045645130165934085,-0.06108072531585192,-0.04378417029900336,-0.056246063639646016,-0.06455677865916941,-0.08134012097691998,-0.0645796607402128,-0.07296563975483941,2023-09-14,0.0115941808363846
Argentina,-0.03295113344159999,-0.035886934728416926,-0.03152076455236058,-0.04051687305900501,-0.046603416846989605,-0.0519137462251827,-0.04653283181073638,-0.052586616041762506,2023-09-15,0.0112149728182009
Argentina/Servicios Financieros y Bancarios/ggal,-0.04872980231179938,-0.050902502578293304,-0.04637764706544648,-0.05968170812765944,-0.06891948934118101,-0.07173831219113005,-0.0685784850188749,-0.07753118376435103,2023-09-15,-0.0100395772463852
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03629544684137898,-0.035135845234838224,-0.03429548183812997,-0.044204753334211686,-0.05133334310925615,-0.05011029740360612,-0.050831344812021347,-0.057499588596885386,2023-09-15,0.0070093575948866
Argentina/Energía y Petróleo/ypf,-0.044338740918038445,-0.052912897341881183,-0.042902066696925284,-0.055007293654769716,-0.06270912741548736,-0.07883356469168304,-0.06310237852831692,-0.0712483461161394,2023-09-15,0.0027009685450117
Argentina,-0.032317563281496105,-0.03581256348742175,-0.030720521761403444,-0.039543703878416256,-0.045707346478865055,-0.051805377619585334,-0.04544401167357429,-0.05138141289407563,2023-09-16,-0.0221811254979026
Argentina/Servicios Financieros y Bancarios/ggal,-0.0476111695310524,-0.050902502578293304,-0.04496084193944977,-0.05795949731325001,-0.06733738565202406,-0.07173831219113005,-0.06665204135718596,-0.07539922352312084,2023-09-16,0.0095631726615028
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.036305152336634824,-0.035135845234838224,-0.034260951167103135,-0.044172872427710806,-0.05134706977641059,-0.05011029740360612,-0.050801235873019074,-0.05747126276331509,2023-09-16,-0.0170147147591901
Argentina/Energía y Petróleo/ypf,-0.043483120042779974,-0.052912897341881183,-0.04178919636356393,-0.05366082433617738,-0.06149900648343117,-0.07883356469168304,-0.061599695400730785,-0.06958846727724058,2023-09-16,-0.0097787803065446
Argentina,-0.03228716241476722,-0.03583557395077632,-0.030742075282169868,-0.0395569574123678,-0.0456643499528977,-0.051838750891166546,-0.04545171478049757,-0.05138353068693,2023-09-17,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.047440864931392525,-0.050902502578293304,-0.04495842017906111,-0.05791057951377313,-0.06709652060672978,-0.07173831219113005,-0.06657203042876457,-0.07528792402582803,2023-09-17,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03630466313877017,-0.035135845234838224,-0.03427536146155604,-0.04418714916286418,-0.05134637789453504,-0.05011029740360612,-0.05081542329354258,-0.05748536030780992,2023-09-17,0.0
Argentina/Energía y Petróleo/ypf,-0.043483217784715644,-0.052912897341881183,-0.041793009255169315,-0.05366466391298604,-0.06149914472171604,-0.07883356469168304,-0.06160355282263944,-0.06959234265641692,2023-09-17,0.0
Argentina,-0.03185919132475038,-0.03394091907747545,-0.030497007980635264,-0.03919501724428576,-0.04505906227313202,-0.051649707180950404,-0.045011624958314005,-0.050864803068736746,2023-09-18,0.0
Argentina/Servicios Financieros y Bancarios/ggal,-0.04693000522808059,-0.04726099788965122,-0.04473524777022639,-0.0575479337567069,-0.06637400197938209,-0.07173831219113005,-0.06611611516130719,-0.07473815299027846,2023-09-18,0.0
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03622703145784227,-0.035135845234838224,-0.034297665685902375,-0.04418825862395623,-0.05123658192672024,-0.05011029740360612,-0.050802359256854224,-0.057458033683967916,2023-09-18,0.0
Argentina/Energía y Petróleo/ypf,-0.042985651870309165,-0.05053890859525843,-0.0415648378325088,-0.05330064857153876,-0.06079542775370838,-0.07883356469168304,-0.06114869506609629,-0.06904607148290164,2023-09-18,0.0
Argentina,-0.031896981408697365,-0.0339223270425953,-0.030472981140632398,-0.03918134199225407,-0.04511250951002252,-0.05162367651055343,-0.045004864715541576,-0.05086499772033103,2023-09-19,0.0277252415599371
Argentina/Servicios Financieros y Bancarios/ggal,-0.047013532530619635,-0.04726099788965122,-0.04470166816979773,-0.05753715852404955,-0.0664921362373502,-0.07173831219113005,-0.06612058981146816,-0.07475797337838988,2023-09-19,-0.0092578389833656
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03624395540617926,-0.035135845234838224,-0.03435284280455646,-0.0442480562670411,-0.05126051778982016,-0.05011029740360612,-0.05086524676661881,-0.05752403048217319,2023-09-19,0.0291109271792753
Argentina/Energía y Petróleo/ypf,-0.04309200390236594,-0.05053890859525843,-0.0415478761360488,-0.053312722780447734,-0.06094584346220747,-0.07883356469168304,-0.061180186351542584,-0.06909710189345829,2023-09-19,0.0157008488194294
Argentina,-0.032006688984333696,-0.03396161057170734,-0.030651006880478383,-0.039389335519541796,-0.045267671027841454,-0.051679677447404954,-0.04523289507631076,-0.051113189206339005,2023-09-20,-0.0318822514479653
Argentina/Servicios Financieros y Bancarios/ggal,-0.047146112095501846,-0.04726099788965122,-0.04496457454138139,-0.057836261361514776,-0.0666796460460355,-0.07173831219113005,-0.06644389818134135,-0.07510563942770945,2023-09-20,-0.0296950751955181
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.03639194833510261,-0.035135845234838224,-0.03462175681275032,-0.044557374850459255,-0.05146982701340865,-0.05011029740360612,-0.05120158495626652,-0.057887558113317784,2023-09-20,-0.0107033902247216
Argentina/Energía y Petróleo/ypf,-0.043109028072430736,-0.05053890859525843,-0.04160917470473667,-0.05337866923579489,-0.060969921070809605,-0.07883356469168304,-0.0612492409714141,-0.06916928421462862,2023-09-20,-0.0238526365665077
Argentina,-0.03206609117574144,-0.03398321279608599,-0.030756725427959274,-0.03951126850682357,-0.04535168468074678,-0.05171128412968311,-0.04536567180292376,-0.051256878181919194,2023-09-21,-0.0303989577831511
Argentina/Servicios Financieros y Bancarios/ggal,-0.04724401158329491,-0.04726099788965122,-0.0451357635846118,-0.05803417862242242,-0.06681810715987892,-0.07173831219113005,-0.06665968930709838,-0.07533941676683012,2023-09-21,-0.0121402972131685
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.036416707460954295,-0.035135845234838224,-0.034684905891791476,-0.04462728359004797,-0.05150484431758964,-0.05011029740360612,-0.05127601405933454,-0.05796653599320072,2023-09-21,-0.0115919338017344
Argentina/Energía y Petróleo/ypf,-0.04312616630774719,-0.05053890859525843,-0.04169526040655819,-0.05346943396602063,-0.060994160004073913,-0.07883356469168304,-0.061343134691471235,-0.0692663265921918,2023-09-21,-0.0178632923033578
Argentina,-0.0320770300245556,-0.03392885650443583,-0.03079061282687456,-0.03954817335629755,-0.04536715570337537,-0.05162665948958855,-0.045404587832857245,-0.05129781479689429,2023-09-22,-0.0235140823308074
Argentina/Servicios Financieros y Bancarios/ggal,-0.04731413953820483,-0.04726099788965122,-0.04528719473779261,-0.058204755894611056,-0.0669172904647897,-0.07173831219113005,-0.06684307009457072,-0.07553568154775533,2023-09-22,-0.0249256882665001
Argentina/Comercio Electrónico y Tecnología Financiera/meli,-0.036495876117161645,-0.035135845234838224,-0.03492316452141688,-0.04488715660320108,-0.05161681405887294,-0.05011029740360612,-0.05155034118142384,-0.05825540807741759,2023-09-22,0.0258014014613212
Argentina/Energía y Petróleo/ypf,-0.043208894750659345,-0.05053890859525843,-0.04167586930386056,-0.0534726291288909,-0.061111164419626746,-0.07883356469168304,-0.061361433886457976,-0.06929982475766351,2023-09-22,-0.0074706618148754
