Activo,vc_95,hs_95,mc_95,es_95,vc_99,hs_99,mc_99,es_99,datetime,PnL
Colombia/Servicios Financieros y Bancarios/bogota,-0.03654780905794096,-0.03310961497619312,-0.03715320551996331,-0.04713137617384282,-0.05169026380807558,-0.06453615563030524,-0.053804042337573806,-0.06051865041682106,2023-09-19,-0.0039872560515921
Colombia/Petróleo y Gas/ec,-0.03147315939937997,-0.034911967748725126,-0.030247730172101094,-0.038840435551673796,-0.044513089954268746,-0.04677789533319656,-0.044586604506891225,-0.05036889175829614,2023-09-19,0.0031673125968717
Colombia,-0.021562660178839333,-0.02283805613159435,-0.021154568084448825,-0.02703981151629624,-0.030496481780374195,-0.03352042632638173,-0.030975795581191404,-0.03493669928158251,2023-09-20,0.0283400536161875
Colombia/Servicios Financieros y Bancarios/aval,-0.03300346117912641,-0.037342998431114424,-0.03192461799585188,-0.04093512167042054,-0.046677424964765755,-0.04718413105968222,-0.04696068337637231,-0.053024119538172425,2023-09-20,-0.0301724137931034
Colombia/Servicios Financieros y Bancarios/bogota,-0.03667584696771968,-0.03310961497619312,-0.03740453209799535,-0.04741765926901964,-0.051871350267277676,-0.06453615563030524,-0.054113701778700694,-0.06085183313897656,2023-09-20,0.0144115539210827
Colombia/Petróleo y Gas/ec,-0.0315070807947502,-0.034911967748725126,-0.03022095971381856,-0.0388229262086413,-0.044561065631077326,-0.04677789533319656,-0.04457528831614193,-0.0503638076476984,2023-09-20,0.004151133935575
Colombia,-0.021495702572162344,-0.02274393113585727,-0.021126667274639032,-0.02699368094157569,-0.030401782359470355,-0.03348573414715282,-0.03091746307600773,-0.0348660827822727,2023-09-21,-0.0157480167140814
Colombia/Servicios Financieros y Bancarios/aval,-0.032775038315922315,-0.03705151706421608,-0.03193348230738919,-0.04088162267293747,-0.046354362150245264,-0.04718413105968222,-0.04686548038760734,-0.052886950422236234,2023-09-21,0.0101010101010101
Colombia/Servicios Financieros y Bancarios/bogota,-0.03666498669888904,-0.03310961497619312,-0.03740524510577858,-0.04741540723953984,-0.05185599038181936,-0.06453615563030524,-0.05410946695051905,-0.06084560304895261,2023-09-21,0.0181530813615911
Colombia/Petróleo y Gas/ec,-0.03155862025693641,-0.034911967748725126,-0.03018209806233945,-0.03879813570293971,-0.04463395887599683,-0.04677789533319656,-0.04455990755713355,-0.05035789578157623,2023-09-21,0.0041270046670115
Colombia,-0.021304766212790666,-0.02262618702711487,-0.02090213824262643,-0.02671744140930684,-0.030131737422691002,-0.03327268964290665,-0.03060655508647729,-0.03452024505118833,2023-09-22,-0.0279999732971191
Colombia/Servicios Financieros y Bancarios/aval,-0.032846598394029466,-0.03705151706421608,-0.03203991371366232,-0.04100759119209817,-0.04645557093432371,-0.04718413105968222,-0.04700451388998229,-0.053039131029485466,2023-09-22,0.0
Colombia/Servicios Financieros y Bancarios/bogota,-0.036096870441179235,-0.03310961497619312,-0.036590617746336686,-0.046445674523120595,-0.0510524927169355,-0.06453615563030524,-0.053036011186738036,-0.05966777227303551,2023-09-22,-0.027131739391112
Colombia/Petróleo y Gas/ec,-0.031638710459414646,-0.034911967748725126,-0.030301103129515044,-0.038939006751377396,-0.04474723197775728,-0.04677789533319656,-0.04471540096455521,-0.050528103458730884,2023-09-22,-0.0181934651871162
